gene_ids,feature_id,feature_types,genome,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,feature_name
ENSG00000187634,ENSG00000187634,Gene Expression,GRCh38,869,0.3150289,0.27385864,74.88439306358381,1090.0,6.99485,869,SAMD11
ENSG00000188976,ENSG00000188976,Gene Expression,GRCh38,1475,0.6277457,0.48719603,57.369942196531795,2172.0,7.683864,1475,NOC2L
ENSG00000187961,ENSG00000187961,Gene Expression,GRCh38,167,0.050289016,0.04906538,95.17341040462428,174.0,5.164786,167,KLHL17
ENSG00000187583,ENSG00000187583,Gene Expression,GRCh38,141,0.04364162,0.042716153,95.92485549132948,151.0,5.0238805,141,PLEKHN1
ENSG00000188290,ENSG00000188290,Gene Expression,GRCh38,2012,0.9965318,0.69141155,41.84971098265896,3448.0,8.14584,2012,HES4
ENSG00000187608,ENSG00000187608,Gene Expression,GRCh38,673,0.23526011,0.21128157,80.54913294797687,814.0,6.703188,673,ISG15
ENSG00000188157,ENSG00000188157,Gene Expression,GRCh38,1270,0.5390173,0.43114412,63.29479768786127,1865.0,7.5315523,1270,AGRN
ENSG00000131591,ENSG00000131591,Gene Expression,GRCh38,444,0.1401734,0.13118036,87.16763005780346,485.0,6.1862087,444,C1orf159
ENSG00000186891,ENSG00000186891,Gene Expression,GRCh38,61,0.017630057,0.01747645,98.23699421965318,61.0,4.1271343,61,TNFRSF18
ENSG00000186827,ENSG00000186827,Gene Expression,GRCh38,548,0.17919075,0.1648284,84.16184971098266,620.0,6.431331,548,TNFRSF4
ENSG00000078808,ENSG00000078808,Gene Expression,GRCh38,3270,4.5225434,1.7088385,5.491329479768781,15648.0,9.658162,3270,SDF4
ENSG00000176022,ENSG00000176022,Gene Expression,GRCh38,837,0.2849711,0.25073624,75.8092485549133,986.0,6.89467,837,B3GALT6
